OBJECTID,LONGITUDE,LATITUDE,city_1,state,zip
6328,-97.34925,31.077907,TEMPLE,TX,76504
6329,-96.886818,33.010045,CARROLLTON,TX,75007
6330,-97.343749,32.734544,FT WORTH,TX,76104
6331,-97.746432,30.306685,AUSTIN,TX,78705
6332,-95.125949,29.543694,WEBSTER,TX,77598
6333,-95.387475,29.724505,HOUSTON,TX,77004
6334,-95.306699,32.307002,TYLER,TX,75701
6335,-97.369846,32.750894,FORT WORTH,TX,76107
6336,-94.775549,29.31111,GALVESTON,TX,77555
6337,-95.401485,29.709099,HOUSTON,TX,77030
6338,-97.333352,32.730649,FORT WORTH,TX,76104
6339,-98.639438,29.472515,SAN ANTONIO,TX,78251
6340,-99.115689,30.05439,KERRVILLE,TX,78028
6341,-95.558566,30.699905,HUNTSVILLE,TX,77340
6342,-95.184782,29.658718,PASADENA,TX,77504
6343,-96.592805,33.422502,VAN ALSTYNE,TX,75495
6344,-98.145583,32.799535,MINERAL WELLS,TX,76067
6345,-95.399482,29.711652,HOUSTON,TX,77030
6346,-96.264312,30.559003,COLLEGE STATION,TX,77845
6347,-95.719093,29.79932,KATY,TX,77449
6348,-96.782291,32.871249,DALLAS,TX,75225
6349,-102.265769,33.179339,BROWNFIELD,TX,79316
6350,-95.59172,30.700504,HUNTSVILLE,TX,77340
6351,-95.291958,32.342166,TYLER,TX,75701
6352,-97.326455,32.726472,FORT WORTH,TX,76104
6353,-95.396822,29.714726,HOUSTON,TX,77030
6354,-95.15282,29.497277,LEAGUE CITY,TX,77573
6355,-97.138462,32.659443,ARLINGTON,TX,76017
6356,-97.369846,32.750894,FORT WORTH,TX,76107
6357,-97.153661,31.559274,WACO,TX,76707
6358,-97.326455,32.726472,FORT WORTH,TX,76104
6359,-95.330262,29.786978,HOUSTON,TX,77026
6360,-95.428091,29.715973,HOUSTON,TX,77005
6361,-94.869604,29.246995,GALVESTON,TX,77555
6362,-94.775549,29.31111,GALVESTON,TX,77555
6363,-97.450122,32.704655,FORT WORTH,TX,76116
6364,-97.82499,30.168081,AUSTIN,TX,78748
6365,-97.741869,30.304646,AUSTIN,TX,78705
6366,-95.397784,29.713494,HOUSTON,TX,77030
6367,-102.375067,31.843873,ODESSA,TX,79761
6368,-102.375067,31.843873,ODESSA,TX,79761
6369,-96.83884,32.812892,DALLAS,TX,75390
6370,-95.085409,30.34239,CLEVELAND,TX,77328
6371,-97.365829,31.07892,TEMPLE,TX,76508
6372,-95.398641,29.704369,HOUSTON,TX,77030
6373,-98.073011,30.034972,WIMBERLEY,TX,78676
6374,-96.761361,32.883427,DALLAS,TX,75231
6375,-96.117317,32.330934,GUN BARREL CITY,TX,75156
6376,-97.153661,31.559274,WACO,TX,76707
6377,-96.123054,33.123311,GREENVILLE,TX,75402
6378,-96.780351,32.790941,DALLAS,TX,75246
6379,-96.750657,33.041121,PLANO,TX,75086
6380,-95.54278,29.547532,MISSOURI CITY,TX,77459
6381,-97.703427,30.408498,AUSTIN,TX,78758
6382,-96.502536,32.084922,CORSICANA,TX,75110
6383,-98.634891,29.417798,SAN ANTONIO,TX,78227
6384,-97.343749,32.734544,FORT WORTH,TX,76104
6385,-96.642821,33.129608,FAIRVIEW,TX,75069
6386,-98.552231,29.353494,SAN ANTONIO,TX,78211
6387,-97.984282,29.569233,SEGUIN,TX,78156
6388,-96.787914,32.84961,DALLAS,TX,75205
6389,-97.141839,32.839651,BEDFORD,TX,76201
6390,-102.374976,31.847802,ODESSA,TX,79761
6391,-102.374976,31.847802,ODESSA,TX,79761
6392,-95.389926,29.706023,HOUSTON,TX,77030
6393,-97.746432,30.306685,AUSTIN,TX,78705
6394,-97.710366,30.214867,AUSTIN,TX,78741
6395,-96.787914,32.84961,DALLAS,TX,75025
6396,-96.703511,32.834623,DALLAS,TX,75218
6397,-96.791179,32.815885,DALLAS,TX,75204
6398,-98.477622,33.875983,WICHITA FALLS,TX,76302
6399,-95.43761,31.324789,CROCKETT,TX,75835
6400,-95.439549,30.018138,HOUSTON,TX,77090
6401,-94.988207,29.395194,TEXAS CITY,TX,77591
6402,-95.39694,29.706353,HOUSTON,TX,77030
6403,-96.83884,32.812892,DALLAS,TX,75390
6404,-95.39694,29.706353,HOUSTON,TX,77030
6405,-95.423554,29.687649,HOUSTON,TX,77030
6406,-95.182627,30.046355,KINGWOOD,TX,77339
6407,-98.187248,26.188198,PHARR,TX,78577
6408,-95.274715,29.996404,HUMBLE,TX,77338
6409,-99.167577,28.668664,DILLEY,TX,78017
6410,-96.800514,32.992366,DALLAS,TX,75252
6411,-98.424648,29.662834,SAN ANTONIO,TX,78261
6412,-96.967308,33.011034,LEWISVILLE,TX,75057
6413,-95.39694,29.706353,HOUSTON,TX,77030
6414,-98.490765,33.920521,WICHITA FALLS,TX,76301
6415,-98.69449,29.467147,SAN ANTONIO,TX,78259
6416,-95.396822,29.714726,HOUSTTON,TX,77030
6417,-95.39694,29.706353,HOUSTON,TX,77030
6418,-96.76188,32.883244,DALLAS,TX,75231
